"Date","Transaction","Name","Memo","Amount"
"1/22/2018","CREDIT","DEPOSIT ","Download from usbank.com. ","225.0000"
"2/5/2018","CREDIT","DEPOSIT ","Download from usbank.com. ","94.1400"
"2/5/2018","CREDIT","MOBILE RDC DEPOSIT ","Download from usbank.com. ","58.6800"
"2/20/2018","DEBIT","DEBIT PURCHASE KROGER 10595 SPRCINCINNATI  OH","Download from usbank.com. KROGER 10595 SPRCINCINNATI  OH","-31.1400"
"2/26/2018","CREDIT","DEPOSIT ","Download from usbank.com. ","70.0000"
"3/2/2018","DEBIT","DEBIT PURCHASE -VISA COSTCO GAS #0379SPRINGDALE  OH","Download from usbank.com. COSTCO GAS #0379SPRINGDALE  OH","-34.5000"
"3/7/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-29.0900"
"3/14/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-33.0400"
"3/20/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-39.5900"
"3/21/2018","DEBIT","PAPER STATEMENT FEE ","Download from usbank.com. ","-2.0000"
"3/26/2018","CREDIT","MOBILE RDC DEPOSIT ","Download from usbank.com. ","100.0000"
"3/26/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-33.2800"
"4/2/2018","DEBIT","DEBIT PURCHASE -VISA SPEEDWAY 01183 5AMELIA      OH","Download from usbank.com. SPEEDWAY 01183 5AMELIA      OH","-36.1600"
"4/5/2018","CREDIT","MOBILE RDC DEPOSIT ","Download from usbank.com. ","100.0000"
"4/6/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-36.1500"
"4/17/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-33.8800"
"4/19/2018","DEBIT","DEBIT PURCHASE KROGER #4 10595 CINCINNATI  OH","Download from usbank.com. KROGER #4 10595 CINCINNATI  OH","-21.6600"
"4/23/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-35.3800"
"4/26/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-33.8200"
"5/7/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-39.8400"
"5/7/2018","DEBIT","DEBIT PURCHASE -VISA STEAMGAMES.COM 4425-8899642 WA","Download from usbank.com. STEAMGAMES.COM 4425-8899642 WA","-3.7000"
"5/11/2018","CREDIT","MOBILE RDC DEPOSIT ","Download from usbank.com. ","200.0000"
"5/14/2018","DEBIT","DEBIT PURCHASE TARGET T- 900 E Springdale  OH","Download from usbank.com. TARGET T- 900 E Springdale  OH","-10.3600"
"5/14/2018","DEBIT","DEBIT PURCHASE -VISA FERRARIS LITTLE CINCINNATI  OH","Download from usbank.com. FERRARIS LITTLE CINCINNATI  OH","-23.7500"
"5/17/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-46.9100"
"5/22/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-52.8500"
"5/29/2018","DEBIT","DEBIT PURCHASE -VISA STEAMGAMES.COM  425-889-9642WA","Download from usbank.com. STEAMGAMES.COM  425-889-9642WA","-19.9900"
"5/29/2018","DEBIT","DEBIT PURCHASE -VISA KROGER FUEL #443CINCINNATI  OH","Download from usbank.com. KROGER FUEL #443CINCINNATI  OH","-43.2700"
"6/4/2018","DEBIT","DEBIT PURCHASE -VISA US ROWING ASSOCIPRINCETON   NJ","Download from usbank.com. US ROWING ASSOCIPRINCETON   NJ","-35.0000"
"6/6/2018","DEBIT","DEBIT PURCHASE -VISA THORNTONS #0551 SHARONVILLE OH","Download from usbank.com. THORNTONS #0551 SHARONVILLE OH","-38.6400"
"6/8/2018","DEBIT","DEBIT PURCHASE -VISA OLD SPAGHETTI FARANCHO CORDOCA","Download from usbank.com. OLD SPAGHETTI FARANCHO CORDOCA","-22.8900"
